Account Number,Region,Instance ID,Instance Type,Instance State,Launch Time,Platform,Architecture,Virtualization Type,CPU Utilization (7d avg %),Recommendation Action,Recommended Instance Type,Recommendation Reason,AMI ID,AMI Name,AMI Description,AMI Creation Date,AMI Owner,AMI Platform,AMI Architecture,AMI Virtualization,AMI State,Application Name,VPC ID,Subnet ID,Availability Zone,Security Groups,Key Pair Name,Monitoring State,Instance Lifecycle,Spot Instance Request ID,Private IP Address,Public IP Address,EBS Optimized,Root Device Type,Root Device Name
013612877090,us-west-2,i-0b6cddb9bc58975ff,t3.micro,running,2025-08-05 02:00:34+00:00,Linux/Unix,x86_64,hvm,0.35,downgrade,t3.nano,Low CPU utilization (0.35%) - downgrade to save costs,ami-05f991c49d264708f,ubuntu/images/hvm-ssd-gp3/ubuntu-noble-24.04-amd64-server-20250610,"Canonical, Ubuntu, 24.04, amd64 noble image",2025-06-10T10:42:33.000Z,099720109477,Linux/Unix,x86_64,hvm,available,port-gha-runner,vpc-09eddf9011fb0fede,subnet-0c02f0d00a645a8d6,us-west-2a,"k8s-traffic-dev-ef260e9aa3, github-runner-sg, bgreen-dev",gha-runner,disabled,on-demand,N/A,10.0.21.180,34.219.184.242,True,ebs,/dev/sda1
013612877090,us-west-2,i-0b0d236eb331a67e3,m5.large,running,2025-09-23 20:13:01+00:00,Linux/Unix,x86_64,hvm,0.28,maintain,m5.large,Current utilization is optimal,ami-06a974f9b8a97ecf2,al2023-ami-2023.8.20250915.0-kernel-6.1-x86_64,Amazon Linux 2023 AMI 2023.8.20250915.0 x86_64 HVM kernel-6.1,2025-09-10T19:06:25.000Z,137112412989,Linux/Unix,x86_64,hvm,available,Sonarqube-runner,vpc-09eddf9011fb0fede,subnet-0c02f0d00a645a8d6,us-west-2a,Bitbucket-sonar-runner,sonar-scan,disabled,on-demand,N/A,10.0.22.96,54.188.238.37,True,ebs,/dev/xvda
013612877090,us-west-2,i-00e93682d3972d406,t3.small,running,2025-09-10 05:08:25+00:00,Linux/Unix,x86_64,hvm,0.6,downgrade,t3.micro,Low CPU utilization (0.6%) - downgrade to save costs,ami-07aef3adbbb14146f,debian-12-amd64-20250814-2204,Debian 12 (20250814-2204),2025-08-14T15:26:03.000Z,136693071363,Linux/Unix,x86_64,hvm,available,dev-pup-250909,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,dev-pup-ec2-sg,ansible-aws,disabled,on-demand,N/A,10.0.45.10,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0bddd605a3d3d04f6,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,14.1,downgrade,t3.large,Low CPU utilization (14.1%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.47.215,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-087e8a685aba4cae3,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,8.6,downgrade,t3.large,Low CPU utilization (8.6%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.40.56,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0bce58132ba8eae34,t3.xlarge,running,2025-12-12 16:35:36+00:00,Linux/Unix,x86_64,hvm,13.46,downgrade,t3.large,Low CPU utilization (13.46%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-02ff6e33277d433df,us-west-2b,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.30.40,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0fcb1d0af2a1c2065,c5n.large,running,2025-12-03 18:19:10+00:00,Linux/Unix,x86_64,hvm,0.17,maintain,c5n.large,Current utilization is optimal,ami-02b297871a94f4b42,al2023-ami-2023.9.20251117.1-kernel-6.1-x86_64,Amazon Linux 2023 AMI 2023.9.20251117.1 x86_64 HVM kernel-6.1,2025-11-17T16:48:34.000Z,137112412989,Linux/Unix,x86_64,hvm,available,Sophos,vpc-67d9ba1f,subnet-5c03ff24,us-west-2b,Sophos,sophos,disabled,on-demand,N/A,172.31.24.66,35.93.152.190,True,ebs,/dev/xvda
013612877090,us-west-2,i-0389e9452c1d032b5,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,8.06,downgrade,t3.large,Low CPU utilization (8.06%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-02ff6e33277d433df,us-west-2b,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.30.18,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0b1834962abbaf235,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,11.32,downgrade,t3.large,Low CPU utilization (11.32%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-02ff6e33277d433df,us-west-2b,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.28.92,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-01ef150732ce99733,t3.xlarge,running,2025-12-10 04:46:31+00:00,Linux/Unix,x86_64,hvm,7.03,downgrade,t3.large,Low CPU utilization (7.03%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-02ff6e33277d433df,us-west-2b,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.28.101,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-031cc2e4db3fa8cc8,t3.xlarge,running,2025-12-10 04:46:31+00:00,Linux/Unix,x86_64,hvm,10.89,downgrade,t3.large,Low CPU utilization (10.89%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-02ff6e33277d433df,us-west-2b,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.24.35,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-04e97197f13547eae,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,10.07,downgrade,t3.large,Low CPU utilization (10.07%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-04a5869813b6a975e,us-west-2a,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.13.207,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0aae50033dd63a9e0,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,6.51,downgrade,t3.large,Low CPU utilization (6.51%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-04a5869813b6a975e,us-west-2a,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.14.201,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0ade1d844bee3f39c,m5.xlarge,running,2025-12-15 13:47:59+00:00,Linux/Unix,x86_64,hvm,3.14,downgrade,m5.large,Low CPU utilization (3.14%) - downgrade to save costs,ami-0c3a0618b173f12d7,2025_12_09_jenkins_nodes,No description,2025-12-09T23:06:32.000Z,013612877090,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-03260bea47be3c959,us-west-2a,sg_jenkins_slaves,devops-jenkins-master,disabled,on-demand,N/A,10.0.1.86,No Public IP,False,ebs,/dev/sda1
013612877090,us-west-2,i-00658605b276e015c,m5.xlarge,running,2025-12-16 02:26:44+00:00,Linux/Unix,x86_64,hvm,5.14,downgrade,m5.large,Low CPU utilization (5.14%) - downgrade to save costs,ami-0c3a0618b173f12d7,2025_12_09_jenkins_nodes,No description,2025-12-09T23:06:32.000Z,013612877090,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-03260bea47be3c959,us-west-2a,sg_jenkins_slaves,devops-jenkins-master,disabled,on-demand,N/A,10.0.1.250,No Public IP,False,ebs,/dev/sda1
013612877090,us-west-2,i-02b766430e0aeea4b,t3.medium,running,2025-12-16 13:07:58+00:00,Linux/Unix,x86_64,hvm,2.2,downgrade,t3.small,Low CPU utilization (2.2%) - downgrade to save costs,ami-0c3a0618b173f12d7,2025_12_09_jenkins_nodes,No description,2025-12-09T23:06:32.000Z,013612877090,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-03260bea47be3c959,us-west-2a,sg_jenkins_slaves,devops-jenkins-master,disabled,on-demand,N/A,10.0.1.131,No Public IP,False,ebs,/dev/sda1
013612877090,us-west-2,i-08df06492e7ba975c,t3.medium,running,2025-12-16 13:07:58+00:00,Linux/Unix,x86_64,hvm,1.61,downgrade,t3.small,Low CPU utilization (1.61%) - downgrade to save costs,ami-0c3a0618b173f12d7,2025_12_09_jenkins_nodes,No description,2025-12-09T23:06:32.000Z,013612877090,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-03260bea47be3c959,us-west-2a,sg_jenkins_slaves,devops-jenkins-master,disabled,on-demand,N/A,10.0.1.147,No Public IP,False,ebs,/dev/sda1
013612877090,us-west-2,i-049811bd83a7af13a,c5n.2xlarge,running,2025-12-03 18:28:57+00:00,Linux/Unix,x86_64,hvm,6.14,maintain,c5n.2xlarge,Current utilization is optimal,ami-03174567602b2b4ce,NDR-PROD-Appliance-2025-10-07_09.49.36GMT-16580282-44e6-458b-9865-24c48c105d48,No description,2025-10-22T08:49:56.000Z,679593333241,Linux/Unix,x86_64,hvm,available,Sophos Data Collector,vpc-09eddf9011fb0fede,subnet-0c02f0d00a645a8d6,us-west-2a,"sophos-ndr-dev-stack-InternalMgmtSG-bpT3Nz8ncqQA, Sophos",sophos,disabled,on-demand,N/A,10.0.17.188,100.20.191.187,False,ebs,/dev/sda1
013612877090,us-west-2,i-02c7902b230f4bb73,t3.xlarge,running,2025-12-10 04:46:30+00:00,Linux/Unix,x86_64,hvm,6.77,downgrade,t3.large,Low CPU utilization (6.77%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-04a5869813b6a975e,us-west-2a,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.8.35,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-05683b242c4c73ccd,t3.xlarge,running,2025-12-10 04:46:30+00:00,Linux/Unix,x86_64,hvm,6.71,downgrade,t3.large,Low CPU utilization (6.71%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-04a5869813b6a975e,us-west-2a,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.13.250,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0d4faa05049eb2815,m5.xlarge,running,2025-12-16 13:08:01+00:00,Linux/Unix,x86_64,hvm,2.48,downgrade,m5.large,Low CPU utilization (2.48%) - downgrade to save costs,ami-0c3a0618b173f12d7,2025_12_09_jenkins_nodes,No description,2025-12-09T23:06:32.000Z,013612877090,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-03260bea47be3c959,us-west-2a,sg_jenkins_slaves,devops-jenkins-master,disabled,on-demand,N/A,10.0.1.182,No Public IP,False,ebs,/dev/sda1
013612877090,us-west-2,i-0124d2a2f9916b06f,t3.xlarge,running,2025-12-10 04:46:30+00:00,Linux/Unix,x86_64,hvm,10.49,downgrade,t3.large,Low CPU utilization (10.49%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-00811c885e78b274b,us-west-2d,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.57.162,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-07718fcd8f2cecc15,t3.xlarge,running,2025-12-10 04:46:30+00:00,Linux/Unix,x86_64,hvm,8.4,downgrade,t3.large,Low CPU utilization (8.4%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-00811c885e78b274b,us-west-2d,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.59.174,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-058065c3af4ac492f,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,8.63,downgrade,t3.large,Low CPU utilization (8.63%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-00811c885e78b274b,us-west-2d,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.56.106,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-0ad3b641bd25ae195,t3.xlarge,running,2025-12-10 04:44:44+00:00,Linux/Unix,x86_64,hvm,7.74,downgrade,t3.large,Low CPU utilization (7.74%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-00811c885e78b274b,us-west-2d,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.61.76,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-025a0aefe043b50d8,t3.xlarge,running,2025-12-10 04:46:30+00:00,Linux/Unix,x86_64,hvm,10.48,downgrade,t3.large,Low CPU utilization (10.48%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.40.205,No Public IP,False,ebs,/dev/xvda
013612877090,us-west-2,i-09b7a96fbe78c9547,t3.xlarge,running,2025-12-10 04:46:30+00:00,Linux/Unix,x86_64,hvm,10.66,downgrade,t3.large,Low CPU utilization (10.66%) - downgrade to save costs,ami-0da8a781642024a05,amazon-eks-node-1.32-v20251120,"EKS Kubernetes Worker AMI with AmazonLinux2 image, (k8s: 1.32.9, containerd: 1.7.29-1.eks.amzn2.0.1)",2025-11-20T18:18:49.000Z,602401143452,Linux/Unix,x86_64,hvm,available,Unknown Application,vpc-09eddf9011fb0fede,subnet-0ad019f72ebfe75c2,us-west-2c,"eks-cluster-sg-dev-99349, eks-remoteAccess-e4ca6699-f08c-a80e-6335-caef78a2d415",dev_nodes,disabled,on-demand,N/A,10.0.42.210,No Public IP,False,ebs,/dev/xvda
